fid,NIC,CT,Circuito,kW INSTALA,kWp INSTAL,X1,Y1,TECH,DSSName,KVA,CURVE1,CURVE2,LV_GROUP,CARGAS_BT_,CARGAS_B_1
49,5348992,171607,VOLG101,0,7.56,19.44367,-70.66952,PV,,6.873,Irr.txt,TEMPPV.txt,0,324735,2150770
2,2223598,171607,VOLG101,0,5.2,19.44298,-70.66924,PV,,4.727,Irr.txt,TEMPPV.txt,0,324764,2150693
195,8196651,171607,VOLG101,0,5.2,19.44298,-70.66924,PV,,4.727,Irr.txt,TEMPPV.txt,0,324764,2150693
25,5079635,171607,VOLG101,0,10.24,19.4431,-70.66904,PV,,9.309,Irr.txt,TEMPPV.txt,0,324784,2150707
162,8071037,171618,VOLG101,4,4.05,19.44616,-70.66891,PV,,3.682,Irr.txt,TEMPPV.txt,0,324801,2151045
37,5253880,171619,VOLG101,7,5.025,19.44659,-70.66889,PV,,4.568,Irr.txt,TEMPPV.txt,0,324804,2151093
84,6144731,171634,VOLG101,23.1,24.99,19.45009,-70.66892,PV,,22.718,Irr.txt,TEMPPV.txt,0,324805,2151480
23,4683612,171608,VOLG101,5,5.07,19.44366,-70.66879,PV,,4.609,Irr.txt,TEMPPV.txt,0,324811,2150768
1,2206955,215693,VOLG101,6,6.37,19.44288,-70.66861,PV,,5.791,Irr.txt,TEMPPV.txt,0,324829,2150681
283,8532500,162359,VOLG101,5,3.96,19.44785,-70.66837,PV,,3.6,Irr.txt,TEMPPV.txt,0,324860,2151231
106,6268460,102926,VOLG101,0,10.53,19.45253,-70.66836,PV,,9.573,Irr.txt,TEMPPV.txt,0,324866,2151750
207,8256837,161157,VOLG101,0,10.89,19.44607,-70.6683,PV,,9.9,Irr.txt,TEMPPV.txt,0,324866,2151034
29,5138012,195012,VOLG101,4.5,5.4,19.44388,-70.6682,PV,,4.909,Irr.txt,TEMPPV.txt,0,324874,2150792
297,8605873,226888,VOLG101,0,23.76,19.4424,-70.66818,PV,,21.6,Irr.txt,TEMPPV.txt,0,324874,2150628
4,2223634,162360,VOLG101,4.5,5.34,19.44675,-70.66807,PV,,4.855,Irr.txt,TEMPPV.txt,0,324890,2151110
3,2223633,162360,VOLG101,0,6.27,19.44686,-70.66804,PV,,5.7,Irr.txt,TEMPPV.txt,0,324894,2151122
42,5295220,171614,VOLG101,0,10.89,19.44622,-70.66769,PV,,9.9,Irr.txt,TEMPPV.txt,0,324930,2151050
219,8367926,149637,VOLG101,0,12.48,19.44493,-70.66746,PV,,11.345,Irr.txt,TEMPPV.txt,0,324952,2150907
220,8372057,226888,VOLG101,0,15.18,19.44239,-70.66742,PV,,13.8,Irr.txt,TEMPPV.txt,0,324954,2150626
234,8396595,215688,VOLG101,3.8,4.355,19.45052,-70.66683,PV,,3.959,Irr.txt,TEMPPV.txt,0,325025,2151525
275,8508873,149807,VOLG101,0,4.74,19.44378,-70.66641,PV,,4.309,Irr.txt,TEMPPV.txt,0,325061,2150779
160,8067082,171611,VOLG101,0,23.1,19.44524,-70.66636,PV,,21,Irr.txt,TEMPPV.txt,0,325068,2150940
285,8543140,171611,VOLG101,0,24.75,19.44516,-70.66611,PV,,22.5,Irr.txt,TEMPPV.txt,0,325094,2150931
191,8168920,102988,VOLG101,11.5,13.775,19.45268,-70.66611,PV,,12.523,Irr.txt,TEMPPV.txt,0,325103,2151764
353,8840057,188697,VOLG101,6,9,19.44366,-70.66576,PV,,8.182,Irr.txt,TEMPPV.txt,0,325130,2150765
210,8262372,153433,VOLG101,7.7,8.91,19.45123,-70.66561,PV,,8.1,Irr.txt,TEMPPV.txt,0,325153,2151603
214,8316435,165657,VOLG101,7,7.38,19.4559,-70.66511,PV,,6.709,Irr.txt,TEMPPV.txt,0,325211,2152119
318,8683076,165657,VOLG101,12,13.53,19.4559,-70.66511,PV,,12.3,Irr.txt,TEMPPV.txt,0,325211,2152119
46,5319848,215681,VOLG101,0,9,19.45219,-70.66506,PV,,8.182,Irr.txt,TEMPPV.txt,0,325212,2151709
145,6601338,171645,VOLG101,2,2.68,19.45278,-70.66452,PV,,2.436,Irr.txt,TEMPPV.txt,0,325270,2151773
194,8191158,213904,VOLG101,0,5.88,19.45061,-70.66404,PV,,5.345,Irr.txt,TEMPPV.txt,0,325318,2151533
28,5117130,171623,VOLG101,0,5.28,19.44565,-70.6639,PV,,4.8,Irr.txt,TEMPPV.txt,0,325327,2150984
73,6118782,215687,VOLG101,0,7.56,19.4508,-70.66377,PV,,6.873,Irr.txt,TEMPPV.txt,0,325346,2151553
332,8720916,212668,VOLG101,5.46,5,19.44516,-70.66333,PV,,4.545,Irr.txt,TEMPPV.txt,0,325386,2150929
200,8212463,215685,VOLG101,5,4.8,19.45017,-70.66336,PV,,4.364,Irr.txt,TEMPPV.txt,0,325388,2151483
139,6566170,103256,VOLG101,3.6,5.28,19.44903,-70.66331,PV,,4.8,Irr.txt,TEMPPV.txt,0,325393,2151357
203,8233870,215686,VOLG101,0,6.27,19.45063,-70.66275,PV,,5.7,Irr.txt,TEMPPV.txt,0,325453,2151533
281,8525232,153424,VOLG101,0,6.68,19.44808,-70.66216,PV,,6.073,Irr.txt,TEMPPV.txt,0,325512,2151251
204,8242286,153424,VOLG101,0,5.37,19.44764,-70.66215,PV,,4.882,Irr.txt,TEMPPV.txt,0,325513,2151202
319,8683930,163631,VOLG101,6,6.5,19.44449,-70.66204,PV,,5.909,Irr.txt,TEMPPV.txt,0,325521,2150853
217,8329658,153428,VOLG101,21.4,24.3,19.44746,-70.66168,PV,,22.091,Irr.txt,TEMPPV.txt,0,325562,2151182
